cycles,epigenomics,genome,soykb,cycles_closed,epigenomics_closed,genome_closed,soykb_closed
7.4121413230896,13.278265714645386,9.275753498077393,9.748689651489258,7.1292197704315186,12.687940835952759,7.313075304031372,8.51205039024353
7.461132287979126,13.308862924575806,9.623498439788818,9.824644804000854,7.234601974487305,12.729427814483643,7.729433059692383,8.594359159469604
7.516002416610718,13.30898928642273,9.74394679069519,9.848361730575562,7.267893552780151,12.785220384597778,7.867231845855713,8.597985744476318
7.5312659740448,13.329527139663696,9.764456033706665,9.882697820663452,7.272608041763306,12.8125741481781,8.324827671051025,8.611783981323242
7.730895757675171,13.339050531387327,9.828345775604248,9.957513332366943,7.351946115493774,12.827367067337036,8.498364686965942,8.631675720214844
7.789028882980347,13.35830020904541,9.830999374389648,9.97604250907898,7.371337890625,12.84530758857727,8.864813089370728,8.636975526809692
7.842151880264282,13.571604490280151,9.92703890800476,9.987991571426392,7.3864405155181885,12.853104591369629,9.051590204238892,8.673812866210938
7.859484672546387,13.699710130691528,9.929062128067017,10.025176525115967,7.396934986114502,12.877680778503418,9.3780198097229,8.689589023590088
7.930371999740601,13.817697286605837,10.023798704147339,10.134795665740967,7.484110355377197,12.89106011390686,9.403475999832153,8.697757005691528
8.002071142196655,13.911593437194824,10.187272787094116,10.153920650482178,7.589678049087524,12.979927778244019,9.474554300308228,8.794269323348999
8.03566861152649,13.954904317855837,10.210045337677002,10.16166090965271,7.734049320220947,13.008539915084839,9.503813028335571,8.809513807296753
8.11332654953003,14.02200961112976,10.267394304275513,10.180316686630249,7.749587297439575,13.045745372772217,9.70302128791809,8.886127233505249
8.189808368682861,14.194643259048462,10.800532817840576,10.19583535194397,7.794967889785767,13.047736406326294,9.717532634735107,8.928805589675903
8.2410147190094,14.313202142715454,11.04597806930542,10.197782039642334,7.860028505325317,13.068086624145508,9.873209953308105,9.039639472961426
8.420840740203857,14.707390785217283,11.442502737045288,10.209051132202148,8.0773344039917,13.071107625961304,9.931219339370728,9.076266765594482
8.482791662216187,14.80239963531494,11.623141288757324,10.255253314971924,8.082141399383545,13.081908702850342,9.96513056755066,9.195984601974487
8.666658163070679,14.834380149841309,12.459096908569336,10.339829444885254,8.16776418685913,13.123733758926392,9.988229751586914,9.222832918167114
8.707236289978027,15.058097124099731,12.730265140533447,10.388364553451538,8.412070989608765,13.34528398513794,10.219461679458618,9.262025117874146
